County,WeekStartDate,ProbableCases,ConfirmedCases,TotalCases,Age 0-19,Age 20-34,Age 35-49,Age 50-64,Age 65-79,Age 80+,UnknownAge,dtm_updated
Unassigned,44122,0,7,7,2,2,3,0,0,0,0,2021/05/10 12:56:27
Unassigned,44129,0,9,9,2,1,3,2,0,1,0,2021/05/10 12:56:27
Unassigned,44136,0,21,21,1,9,9,1,0,0,1,2021/05/10 12:56:27
Unassigned,44143,0,24,24,2,7,5,4,2,0,4,2021/05/10 12:56:27
Unassigned,44150,0,33,33,5,7,12,4,4,0,1,2021/05/10 12:56:27
Unassigned,44157,0,32,32,0,5,17,10,0,0,0,2021/05/10 12:56:27
Unassigned,44164,0,634,634,3,235,252,94,13,4,33,2021/05/10 12:56:27
Unassigned,44171,2,129,131,3,50,34,34,9,1,0,2021/05/10 12:56:27
Unassigned,44178,0,26,26,1,6,5,3,0,0,11,2021/05/10 12:56:27
Unassigned,44185,2,9,11,0,3,3,3,0,1,1,2021/05/10 12:56:27
Unassigned,44192,0,14,14,0,5,4,4,1,0,0,2021/05/10 12:56:27
Unassigned,44199,1,12,13,2,6,1,3,0,1,0,2021/05/10 12:56:27
Unassigned,44206,3,56,59,6,21,24,5,0,1,2,2021/05/10 12:56:27
Unassigned,44213,0,11,11,1,5,4,1,0,0,0,2021/05/10 12:56:27
Unassigned,44220,0,8,8,2,2,1,2,0,1,0,2021/05/10 12:56:27
Unassigned,44227,0,1,1,0,1,0,0,0,0,0,2021/05/10 12:56:27
Unassigned,44234,0,5,5,0,0,2,2,0,1,0,2021/05/10 12:56:27
Unassigned,44241,3,23,26,7,6,6,6,1,0,0,2021/05/10 12:56:27
Unassigned,44248,3,27,30,8,6,7,7,2,0,0,2021/05/10 12:56:27
Unassigned,44255,2,11,13,1,3,4,3,1,1,0,2021/05/10 12:56:27
Unassigned,44262,3,9,12,4,3,3,1,1,0,0,2021/05/10 12:56:27
Unassigned,44269,0,11,11,1,6,3,0,0,0,1,2021/05/10 12:56:27
Unassigned,44276,1,7,8,3,1,1,2,0,0,1,2021/05/10 12:56:27
Unassigned,44283,0,11,11,0,5,3,2,1,0,0,2021/05/10 12:56:27
Unassigned,44290,0,11,11,1,4,4,1,0,1,0,2021/05/10 12:56:27
Unassigned,44297,0,2,2,1,1,0,0,0,0,0,2021/05/10 12:56:27
Unassigned,44304,0,10,10,4,2,3,0,1,0,0,2021/05/10 12:56:27
Unassigned,44311,0,7,7,0,3,2,0,2,0,0,2021/05/10 12:56:27
Unassigned,44318,0,17,17,4,4,6,2,1,0,0,2021/05/10 12:56:27
